Shape,ObjectCount,Duration,AverageFPS
Capsule,30000,30,59.20
Capsule,200,30,59.84
Capsule,300,30,59.96
Capsule,400,30,59.85
Capsule,500,30,59.84
Capsule,600,30,59.87
Capsule,700,30,59.82
Capsule,800,30,59.82
Capsule,900,30,59.85
Capsule,1000,30,59.27
Capsule,1500,30,59.80
Capsule,2000,30,59.83
Capsule,2500,30,59.76
Capsule,3000,30,59.88
Capsule,3500,30,59.67
Capsule,4000,30,56.37
Capsule,4500,30,56.20
Capsule,5000,30,56.59
Capsule,5500,30,43.65
Capsule,6000,30,38.42
Capsule,6500,30,28.98
Capsule,7000,30,22.89
Capsule,7500,30,17.25
Capsule,7000,30,22.21
Capsule,8000,30,14.23
Capsule,8500,30,8.74
Capsule,9000,30,3.15
Capsule,9500,30,3.18
Capsule,10000,30,3.15
Capsule,10500,30,3.10
Capsule,11000,30,3.11
Capsule,15000,30,3.08
Capsule,20000,30,3.07
Capsule,30000,30,3.06
Capsule,6100,30,29.80
Capsule,6200,30,34.27
Capsule,6300,30,33.55
Capsule,6400,30,32.54
Capsule,6600,30,29.53
Capsule,6700,30,29.13
Capsule,6700,30,28.88
Capsule,6800,30,26.86
Capsule,6900,30,25.77
Capsule,7100,30,24.40
Capsule,7200,30,23.95
Capsule,7200,30,22.72
Capsule,7300,30,22.44
Capsule,7400,30,20.94
Capsule,7600,30,17.36
Capsule,7700,30,17.41
Capsule,7800,30,16.01
Capsule,7900,30,15.08
Capsule,8100,30,12.75
Capsule,8200,30,10.57
Capsule,8300,30,10.01
Capsule,8400,30,9.36
Capsule,8600,30,6.06
Capsule,8700,30,5.20
Capsule,8800,30,4.72
Capsule,8900,30,3.97
